date,close,volume,momentum_rsi
2022-07-01,138.92999267578125,71051600,100.0
2022-07-05,141.55999755859375,73353800,100.0
2022-07-06,142.9199981689453,74064300,100.0
2022-07-07,146.35000610351562,66253700,100.0
2022-07-08,147.0399932861328,64547800,100.0
2022-07-11,144.8699951171875,63141600,75.37565503574582
2022-07-12,145.86000061035156,77588800,78.03327070018511
2022-07-13,145.49000549316406,71185600,74.78481140259332
2022-07-14,148.47000122070312,78140700,81.47418668619122
2022-07-15,150.1699981689453,76259900,84.07043779828447
2022-07-18,147.07000732421875,81420900,65.92668155703164
2022-07-19,151.0,82982400,73.68133608534397
2022-07-20,153.0399932861328,64823400,76.65179905447718
2022-07-21,155.35000610351562,65086600,79.47654640386452
2022-07-22,154.08999633789062,66675400,74.20309116761244
2022-07-25,152.9499969482422,53623900,69.69718726363286
2022-07-26,151.60000610351562,55138700,64.68769977402455
2022-07-27,156.7899932861328,78620700,72.78596849891983
2022-07-28,157.35000610351562,81378700,73.49237158098882
2022-07-29,162.50999450683594,101786900,78.92155875736148
2022-08-01,161.50999450683594,67829400,75.68624689834118
2022-08-02,160.00999450683594,59907000,70.98548551014429
2022-08-03,166.1300048828125,82507500,77.2058857204705
2022-08-04,165.80999755859375,55474100,76.28493635108968
2022-08-05,165.35000610351562,56697000,75.58610432828974
2022-08-08,164.8699951171875,60276900,74.06120602366336
2022-08-09,164.9199981689453,63135500,74.11977894931582
2022-08-10,169.24000549316406,70170500,78.61310155257111
2022-08-11,168.49000549316406,57149200,76.1414776677044
2022-08-12,172.10000610351562,68039400,79.48490362100428
2022-08-15,173.19000244140625,54091700,80.37897522159344
2022-08-16,173.02999877929688,56377100,79.8289926154506
2022-08-17,174.5500030517578,79542000,81.14861400113448
2022-08-18,174.14999389648438,62290100,79.67143140330921
2022-08-19,171.52000427246094,70346300,70.57496843630952
2022-08-22,167.57000732421875,69026800,59.57350420787299
2022-08-23,167.22999572753906,54147100,58.72490278075096
2022-08-24,167.52999877929688,53841500,59.27611199869791
2022-08-25,170.02999877929688,51218200,63.63441987780621
2022-08-26,163.6199951171875,78961000,49.119218310387154
2022-08-29,161.3800048828125,73314000,45.23603375198983
2022-08-30,158.91000366210938,77906200,41.35375052996823
2022-08-31,157.22000122070312,87991100,38.894164648525006
2022-09-01,157.9600067138672,74229900,40.561217198417985
2022-09-02,155.80999755859375,76905200,37.37119544820892
2022-09-06,154.52999877929688,73714800,35.577251031951704
2022-09-07,155.9600067138672,87449600,39.094798384145406
2022-09-08,154.4600067138672,84923800,36.82355384979318
2022-09-09,157.3699951171875,68028800,43.66162922529155
2022-09-12,163.42999267578125,104956000,54.66606914923542
2022-09-13,153.83999633789062,122656600,41.01334001219237
2022-09-14,155.30999755859375,87965400,43.34891490483353
2022-09-15,152.3699951171875,90481100,39.94255513766319
2022-09-16,150.6999969482422,162157000,38.110615200809406
2022-09-19,154.47999572753906,81474200,44.33398834374613
2022-09-20,156.89999389648438,107689800,47.943066744701454
2022-09-21,153.72000122070312,101696800,43.91399565250427
2022-09-22,152.74000549316406,86652500,42.72243043629429
2022-09-23,150.42999267578125,95939200,39.969362226589574
2022-09-26,150.77000427246094,93339400,40.576356121524626
2022-09-27,151.75999450683594,84442700,42.402507627814856
2022-09-28,149.83999633789062,146514500,39.845060829653015
